word,reading,meanings,level
あ,,Ah,N4
ああ,,like that,N4
あいさつする,,to greet,N4
あかちゃん,,infant,N4
アクセサリー,,accessory,N4
あげる,,to give,N4
アジア,,Asia,N4
アナウンサー,,announcer,N4
アフリカ,,Africa,N4
アメリカ,,America,N4
アルコール,,alcohol,N4
アルバイト,,part-time job,N4
あんな,,such,N4
いじめる,,to tease,N4
いただく,,(humble) to receive,N4
いっぱい,,full,N4
いらっしゃる,,(respectful) to be; to come or to go,N4
うかがう,,to visit,N4
うそ,,a lie,N4
うち,,within,N4
うまい,,delicious,N4
うれしい,,glad,N4
うん,,(informal) yes,N4
エスカレーター,,escalator,N4
おいでになる,,(respectful) to be,N4
オートバイ,,motorcycle,N4
おかげ,,owing to,N4
おかしい,,strange or funny,N4
おっしゃる,,(respectful) to say,N4
おつり,,change from purchase; balance,N4
おもちゃ,,toy,N4
お金持ち,かねもち/おかねもち,rich man,N4
お見舞い,おみまい,calling on someone who is ill; enquiry,N4
お祭り,おまつり,festival,N4
お祝い,おいわい,congratulation,N4
お嬢さん,おじょうさん,young lady,N4
お宅,おたく,(polite) your house,N4
お土産,おみやげ,souvenir,N4
お礼,おれい,expression of gratitude,N4
カーテン,,curtain,N4
ガス,,petrol,N4
ガソリン,,petrol,N4
ガソリンスタンド,,petrol station,N4
かっこう,,appearance,N4
かまう,,to mind,N4
ガラス,,a glass pane,N4
きっと,,surely,N4
くださる,,(respectful) to give,N4
くれる,,to give,N4
ケーキ,,cake,N4
けがする,,to injure,N4
けれど/けれども,,however,N4
けんかする,,to quarrel,N4
こう,,this way,N4
ごちそう,,a feast,N4
こと,,thing; matter,N4
このあいだ,,the other day; recently,N4
このごろ,,these days; nowadays,N4
ごみ,,rubbish,N4
ごらんになる,,(respectful) to see,N4
これから,,after this,N4
コンサート,,concert,N4
コンピュータ/コンピューター,,computer,N4
ご存じ,ごぞんじ,knowing; acquaintance,N4
さっき,,some time ago,N4
サラダ,,salad,N4
サンダル,,sandal,N4
サンドイッチ,,sandwich,N4
さ来月,さらいげつ,the month after next,N4
さ来週,さらいしゅう,the week after next,N4
しかる,,a particular,N4
しっかり,,firmly; steadily,N4
しばらく,,little while,N4
じゃま,,hindrance; intrusion,N4
ジャム,,jam,N4
ずいぶん,,extremely,N4
スーツ,,suit,N4
スーツケース,,suitcase,N4
すく,,to become empty,N4
スクリーン,,screen,N4
すっかり,,completely,N4
すっと,,straight; all of a sudden,N4
ステーキ,,steak,N4
ステレオ,,stereo,N4
すばらしい,,wonderful,N4
すり,,pickpocket,N4
すると,,then,N4
ぜひ,,without fail,N4
