pattern,level,meaning,formation,example_ja,example_en,tags,notes
〜ことにする,N4,decide to do,Verb-plain + ことにする,毎日運動することにした。,I decided to exercise every day.,decision,
〜ずに,N4,without doing,Verb-negative (ない) + ずに,朝ご飯を食べずに出かけた。,I went out without eating breakfast.,negative; condition,
〜そうだ（appearance）,N4,looks like; appears that,Verb-stem / i-adjective stem + そうだ,このケーキはおいしそうだ。,This cake looks delicious.,appearance,
〜つもり,N4,intend to; plan to,Verb-plain + つもり,来年、日本に留学するつもりだ。,I intend to study abroad in Japan next year.,intention,
〜てあげる,N4,do something for someone (outward),Verb-te + あげる,友達に本を貸してあげた。,I lent a book to my friend.,giving; favor,
〜ていく,N4,go and do; do something and go away; continue,Verb-te + いく,明日、荷物を持っていきます。,I will take the luggage with me tomorrow.,direction; continuation,
〜ておく,N4,do something in advance; leave something in a state,Verb-te + おく,明日の朝のために水を出しておく。,I will put out water for tomorrow morning.,preparation,
〜てくる,N4,come and do; do something and come back; start to,Verb-te + くる,すぐ戻ってきます。,I will come right back.,direction; beginning,
〜てくれる,N4,someone does something for me,Verb-te + くれる,先生が漢字を教えてくれた。,The teacher taught me kanji.,receiving; favor,
〜てしまう,N4,do something completely; unintentionally; regret,Verb-te + しまう,財布を落としてしまった。,I dropped my wallet (by accident).,completion; regret,
〜てみる,N4,try doing something,Verb-te + みる,新しいレストランで食べてみる。,I will try eating at the new restaurant.,attempt,
〜てもらう,N4,receive the favor of someone doing something,Verb-te + もらう,田中さんに日本語を教えてもらう。,I receive Japanese lessons from Tanaka.,receiving; favor,
〜に違いない,N4,must be; no doubt,Verb-plain / i-adjective / na-adjective + に違いない,彼は疲れているに違いない。,He must be tired.,certainty,
〜に決まっている,N4,certainly; must; no doubt,Verb-plain / i-adjective / na-adjective + に決まっている,あの人が合格するに決まっている。,That person will definitely pass.,certainty,
〜みたい,N4,like; similar to; seems like (casual),Noun + みたい / Verb-plain / i-adjective / na-adjective + みたい,彼女は猫みたいだ。,She is like a cat.,similarity; appearance,
〜らしい,N4,seems like; I heard; typical of,Noun/Verb-plain / i-adjective / na-adjective + らしい,彼は日本語が上手らしい。,I heard he is good at Japanese.,hearsay; typical,
〜わけにはいかない,N4,cannot afford to; must not,Verb-negative (ない) + わけにはいかない,明日は試験だから、遊んでいるわけにはいかない。,"I have an exam tomorrow, so I can't afford to play around.",obligation; prohibition,
〜過ぎる,N4,too much; excessive,Verb-stem / i-adjective stem / na-adjective stem + すぎる,昨日は飲みすぎた。,I drank too much yesterday.,degree,
〜中,N4,in the middle of; during,Verb-stem + ちゅう / Noun + ちゅう,会議中です。,I am in a meeting.,progressive,
〜方,N4,way of doing; how to,Verb-stem + 方,この漢字の読み方を教えてください。,Please tell me how to read this kanji.,method,
