word,reading,meanings,level
あさって,,day after tomorrow,N5
あそこ,,over there,N5
あちら,,there,N5
あっち,,over there,N5
あなた,,you,N5
あの,,that over there,N5
アパート,,apartment,N5
あびる,,to bathe; to shower,N5
あまり,,not very,N5
ある,,to be; to have (used for inanimate objects),N5
あれ,,that,N5
いい/よい,,good,N5
いいえ,,no,N5
いかが,,how,N5
いくつ,,how many?; how old?,N5
いくら,,how much?,N5
いす,,chair,N5
いちばん,,best; first,N5
いつ,,when,N5
いつも,,always,N5
いろいろ,,various,N5
ええ,,yes,N5
エレベーター,,elevator,N5
おいしい,,delicious,N5
おなか,,stomach,N5
おばあさん,,grandmother; female senior-citizen,N5
おまわりさん,,friendly term for policeman,N5
おもしろい,,interesting,N5
お菓子,おかし,sweets; candy,N5
お金,おかね,money,N5
お兄さん,おにいさん,(honorable) older brother,N5
お皿,おさら,plate; dish,N5
お姉さん,おねえさん,(honorable) older sister,N5
お手洗い,おてあらい,bathroom,N5
お酒,おさけ,alcohol; rice wine,N5
お茶,おちゃ,green tea,N5
お父さん,おとうさん,(honorable) father,N5
お風呂,おふろ,bath,N5
お弁当,おべんとう,boxed lunch,N5
お母さん,おかあさん,(honorable) mother,N5
かかる,,to take time or money,N5
かぎ,,key,N5
かける,,to call by phone,N5
カップ,,cup,N5
かばん,,bag; basket,N5
カメラ,,camera,N5
カレー,,curry,N5
カレンダー,,calendar,N5
かわいい,,cute,N5
ギター,,guitar,N5
きれい,,pretty; clean,N5
キロ/キログラム,,kilogram,N5
キロ/キロメートル,,kilometre,N5
ください,,please,N5
クラス,,class,N5
グラム,,gram,N5
コート,,coat; tennis court,N5
コーヒー,,coffee,N5
ここ,,here,N5
こちら,,this person or way,N5
こっち,,this person or way,N5
コップ,,a glass,N5
この,,this,N5
コピーする,,to copy,N5
これ,,this,N5
こんな,,such,N5
さあ,,well…,N5
さ来年,さらいねん,year after next,N5
しかし,,however,N5
じゃ/じゃあ,,well then…,N5
シャツ,,shirt,N5
シャワー,,shower,N5
しょうゆ,,soy sauce,N5
スカート,,skirt,N5
すぐに,,instantly,N5
ストーブ,,heater,N5
スプーン,,spoon,N5
スポーツ,,sport,N5
ズボン,,trousers,N5
スリッパ,,slippers,N5
する,,to do,N5
セーター,,sweater; jumper,N5
せっけん,,economy,N5
ゼロ,,zero,N5
そうして/そして,,and,N5
そこ,,that place,N5
そちら,,over there,N5
そっち,,over there,N5
その,,that,N5
そば,,near; beside,N5
それ,,that,N5
それから,,after that,N5
それでは,,in that situation,N5
たいへん,,very,N5
たくさん,,many,N5
タクシー,,taxi,N5
たて,,length; height,N5
たばこ,,tobacco; cigarettes,N5
たぶん,,probably,N5
だんだん,,gradually,N5
ちゃわん,,rice bowl,N5
ちょうど,,exactly,N5
ちょっと,,somewhat,N5
つける,,to turn on,N5
つまらない,,boring,N5
テープ,,tape,N5
テーブル,,table,N5
テープレコーダー,,tape recorder,N5
できる,,to be able to,N5
テスト,,test,N5
では,,with that...,N5
デパート,,department store,N5
でも,,but,N5
テレビ,,television,N5
ドア,,Western style door,N5
トイレ,,toilet,N5
どう,,how; in what way,N5
どうして,,for what reason,N5
どうぞ,,please,N5
どうも,,thanks,N5
どこ,,where,N5
どちら,,which of two,N5
どっち,,which,N5
とても,,very,N5
どなた,,who,N5
どの,,which,N5
とり肉,とりにく,chicken meat,N5
どれ,,which (of three or more),N5
ナイフ,,knife,N5
なぜ,,why,N5
など,,et cetera,N5
なる,,to become,N5
ニュース,,news,N5
ネクタイ,,tie; necktie,N5
ノート,,notebook; exercise book,N5
パーティー,,party,N5
はい,,yes,N5
はく,,to wear; to put on trousers,N5
はし,,chopsticks,N5
バス,,bus,N5
バター,,butter,N5
パン,,bread,N5
ハンカチ,,handkerchief,N5
フィルム,,roll of film,N5
プール,,swimming pool,N5
フォーク,,fork,N5
ふろ,,bath,N5
ページ,,page,N5
ベッド,,bed,N5
ペット,,pet,N5
ペン,,pen,N5
ボールペン,,ball-point pen,N5
ほか,,other; the rest,N5
ポケット,,pocket,N5
ポスト,,post,N5
ボタン,,button,N5
ホテル,,hotel,N5
ほんとう,,truth,N5
まずい,,unpleasant,N5
また,,again; and,N5
まだ,,yet; still,N5
まっすぐ,,straight ahead; direct,N5
マッチ,,match,N5
みんな,,everyone,N5
メートル,,metre,N5
もう,,already,N5
もう一度,もういちど,again,N5
もっと,,more,N5
やる,,to do,N5
