pattern,level,meaning,formation,example_ja,example_en,tags,notes
〜かたわら,N1,while doing; concurrently; on the side,Verb-stem / Noun + かたわら,本業のかたわら、小説を書いている。,I write novels on the side while working my main job.,side-activity; formal,
〜がち,N1,tend to; prone to; frequently,Verb-stem / Noun + がち,彼は病気がちだ。,He is prone to illness.,tendency,
〜がてら,N1,on the way; while doing; taking the opportunity,Verb-stem / Noun + がてら,散歩がてら、駅前まで買い物に行った。,"I went shopping downtown, taking the opportunity of a walk.",opportunity; on-the-way,
〜かねる,N1,unable to do; cannot (polite refusal),Verb-stem + かねる,お答えしかねます。,I am unable to answer.,polite-refusal; formal,
〜が早いか,N1,as soon as; the moment,Verb-plain + が早いか,彼は教室に入るが早いか、泣き出した。,He burst into tears the moment he entered the classroom.,immediacy; formal,
〜ずくめ,N1,nothing but; full of; entirely (positive or neutral),Noun + ずくめ,彼女はいいことずくめだ。,She has nothing but good things going for her.,abundance,
〜すら,N1,even; not even (emphatic negative),Noun + すら,彼は水すら飲まなかった。,He didn't even drink water.,emphasis; negative,
〜たところで,N1,even if; even though (unlikely to help),Verb-ta + ところで,今さら謝ったところで、許されないだろう。,"Even if you apologize now, you probably won't be forgiven.",concessive; negative,
〜だらけ,N1,full of; covered with; lots of (negative nuance),Noun + だらけ,部屋はゴミだらけだ。,The room is full of trash.,abundance; negative,
〜たら最後,N1,once ... it's all over; the moment ...,Verb-ta + ら最後,彼に黙っていると言ったら最後、誰にも言うだろう。,"Once you tell him to keep quiet, it's over — he'll tell everyone.",irreversible; emphasis,
〜た末,N1,after all; in the end; as a result of,Verb-ta + 末（に/の）,長い議論の末、結論が出た。,"After a long discussion, a conclusion was reached.",result; process,
〜てからというもの,N1,ever since; from the time that,Verb-te + からというもの,日本に来てからというもの、毎日忙しい。,"Ever since I came to Japan, I've been busy every day.",since; change,
〜てやまない,N1,cannot stop doing; do nothing but,Verb-te + やまない,子供の将来を案じてやまない。,I can't stop worrying about my child's future.,emotion; continuity,
〜ともなると,N1,when it comes to; now that,Verb-plain / Noun + ともなると,家族旅行ともなると、準備が大変だ。,"When it comes to a family trip, the preparations are tough.",condition; emphasis,
〜と相まって,N1,combined with; together with,Noun + と相まって,好天に恵まれたことと相まって、大会は大成功だった。,"Combined with the good weather, the event was a great success.",combination; formal,
〜ならでは,N1,unique to; only possible for; characteristic of,Noun + ならでは,京都ならではの風景だ。,This is a scenery unique to Kyoto.,uniqueness,
〜べく,N1,in order to; for the purpose of (formal),Verb-stem + べく,成功を目指すべく、日夜努力している。,I strive day and night in order to achieve success.,purpose; formal,
〜まい,N1,will not; let's not; probably not,Verb-stem + まい,あんな失敗は二度とするまい。,I will never make such a mistake again.,negative-volition; prediction,
〜ものなら,N1,if one could; if only; if you think you can,Verb-potential + ものなら,できるものなら、やってみろ。,"If you think you can do it, go ahead and try.",hypothetical; challenge,
〜ようによっては,N1,depending on how; depending on the way,Verb-stem + ようによっては,使いようによっては、この道具は便利だ。,"Depending on how you use it, this tool is convenient.",condition; perspective,
