word,reading,meanings,level
アイデア,,idea,N1
アクセル,,accelerator,N1
あくどい,,1.  gaudy; showy; excessive; 2.  vicious,N1
あざ笑う,あざわらう,to sneer at; to ridicule,N1
あっさり,,easily; readily; quickly,N1
アップ,,up,N1
アプローチ,,approach (in golf),N1
あべこべ,,contrary; opposite; inverse,N1
アマチュア,,amateur,N1
あやふや,,uncertain; vague; ambiguous,N1
あら,,oh; ah; saw-edged perch (Niphon spinosus),N1
アラブ,,Arab,N1
あられ,,kind of cookie; cartoon character,N1
アルカリ,,alkali,N1
アルミ,,aluminum (Al); aluminium,N1
アワー,,hour,N1
アンケート,,(fr:) (n) questionnaire (fr: enquete); survey,N1
アンコール,,encore,N1
いい加減,いいかげん,moderate; right; random; not thorough; vague; irresponsible; halfhearted,N1
イエス,,Jesus; yes,N1
いく,,to come; to orgasm,N1
いざ,,now; come (now); well; crucial moment,N1
いっそ,,rather; sooner; might as well,N1
いやに,,awfully; terribly,N1
インターチェンジ,,interchange,N1
インターナショナル,,international,N1
インターフォン,,intercom,N1
インテリ,,egghead; intelligentsia,N1
インフォメーション,,information,N1
インフレ,,inflation,N1
ウェートレス,,waitress,N1
うんざり,,tedious; boring; being fed up with,N1
エアメール,,air mail,N1
えい,,ray (fish),N1
エレガント,,elegant,N1
エンジニア,,engineer,N1
おおい,,hey!,N1
オーケー,,OK,N1
オートマチック,,automatic,N1
オープン,,open,N1
おっかない,,frightening; huge,N1
おどおど,,coweringly; hesitantly,N1
オリエンテーション,,orientation,N1
オレンジ,,an orange,N1
オンライン,,on-line,N1
お蔭,おかげ,(your) backing; assistance,N1
お蔭様で,おかげさまで,Thanks to god; thanks to you,N1
お願いします,おねがいします,please,N1
お休み,おやすみ,holiday; absence; rest; Good night,N1
お宮,おみや,Shinto shrine,N1
お供,おとも,attendant; companion,N1
お菜,おかず,side dish; accompaniment for rice dishes,N1
お産,おさん,(giving) birth,N1
お使い,おつかい,errand,N1
お邪魔します,おじゃまします,Excuse me for disturbing (interrupting) you,N1
お手上げ,おてあげ,all over; given in; given up hope; bring to knees,N1
お出でになる,おいでになる,to be,N1
お巡りさん,おまわりさん,policeman (friendly term),N1
