pattern,level,meaning,formation,example_ja,example_en,tags,notes
〜かねない,N2,might; there is a risk that,Verb-stem + かねない,その話は誤解を招きかねない。,That story might cause misunderstanding.,risk; possibility,
〜かのようだ,N2,as if; just like,Verb-plain / i-adjective / na-adjective + かのようだ,彼はまるで専門家かのように説明した。,He explained as if he were an expert.,metaphor; appearance,
〜ずにはいられない,N2,cannot help but; can't resist,Verb-negative (ない) + ずにはいられない,面白くて、笑わずにはいられない。,It's so funny that I can't help laughing.,emotion; compulsion,
〜にわたって,N2,throughout; over; spanning,Noun + にわたって,3年にわたって研究を続けた。,I continued the research for three years.,span; range,
〜に沿って,N2,along; in line with; following,Noun + に沿って,海岸に沿って走る。,Run along the coast.,direction; conformity,
〜に応じて,N2,according to; in proportion to; depending on,Noun + に応じて,相手に応じて話し方を変える。,Change the way you speak depending on the other person.,proportion; adaptation,
〜に加えて,N2,in addition to,Noun + に加えて,英語に加えて、フランス語も勉強している。,"In addition to English, I also study French.",addition,
〜に基づいて,N2,based on; in accordance with,Noun + に基づいて,データに基づいて判断する。,Judge based on data.,basis,
〜に際して,N2,on the occasion of; at the time of,Noun + に際して,出発に際して、一言ご挨拶させていただきます。,"On the occasion of our departure, please allow me to say a few words.",formal; timing,
〜に至って,N2,when it comes to; at the point of,Noun + に至って,辞職に至った経緯を説明する。,Explain the circumstances that led to the resignation.,advanced-timing; formal,
〜に代わって,N2,in place of; instead of; on behalf of,Noun + に代わって,社長に代わって挨拶する。,Give a speech on behalf of the president.,substitution,
〜に伴って,N2,as; in accordance with; along with,Noun + に伴って,都市化に伴って、緑が減っている。,"As urbanization progresses, greenery is decreasing.",accompaniment,
〜に反して,N2,contrary to; against,Noun + に反して,予想に反して、試験は簡単だった。,"Contrary to expectations, the exam was easy.",contrast,
〜をきっかけに,N2,triggered by; taking the opportunity of,Noun + をきっかけに,留学をきっかけに、日本語が好きになった。,Studying abroad was the trigger that made me love Japanese.,opportunity; trigger,
〜をめぐって,N2,concerning; regarding; around,Noun + をめぐって,環境問題をめぐって議論が続いている。,Discussion continues regarding environmental issues.,topic; controversy,
〜を禁じえない,N2,cannot help feeling; unable to restrain,Noun + を禁じえない,その結果には驚きを禁じえない。,I cannot help but be surprised by that result.,emotion; formal,
〜を除いて,N2,except for; excluding,Noun + を除いて,日曜日を除いて、毎日開店している。,We are open every day except Sunday.,exception,
〜を通して,N2,through; by way of; throughout,Noun + を通して,仕事を通して多くを学んだ。,I learned a lot through work.,means; span,
〜を通じて,N2,through; by means of; throughout,Noun + を通じて,SNSを通じて知り合った。,We met through social media.,means; span,
〜を余儀なくされる,N2,be forced to; be compelled to,Noun + を余儀なくされる,悪天候で中止を余儀なくされた。,We were forced to cancel due to bad weather.,compulsion; formal,
