word,reading,meanings,level
あいかわらず,,as ever; as usual; the same,N2
アイデア/アイディア,,idea,N2
あいまい,,vague; ambiguous,N2
あかんぼう,,baby,N2
あきれる,,to be amazed; to be shocked,N2
アクセント,,accent,N2
あくび,,yawn,N2
あげる (=やる),,to do for,N2
あたりまえ,,usual; common; ordinary,N2
あちらこちら,,here and there,N2
あてはまる,,to be applicable; to come under (a category); to fulfill,N2
あてはめる,,to apply; to adapt,N2
あぶる,,to scorch,N2
あふれる,,to flood; to overflow; to brim over,N2
あらすじ,,outline; summary,N2
あれこれ,,one thing or another; this and that; this or that,N2
あわただしい,,busy; hurried; confused; flurried,N2
あわてる,,to become confused,N2
アンテナ,,antenna,N2
いきなり,,(uk) abruptly; suddenly; all of a sudden; without warning,N2
イコール,,equal,N2
いちいち,,one by one; separately,N2
いつのまにか,,before one knows; unnoticed; unawares,N2
いよいよ,,more and more; all the more; increasingly; at last; beyond doubt,N2
インキ,,ink,N2
インタビュー,,interview,N2
ウーマン,,woman,N2
ウール,,wool,N2
ウエートレス,,waitress,N2
うっかり,,carelessly; thoughtlessly; inadvertently,N2
うどん,,noodles (Japanese),N2
うろうろ,,loiteringly; aimless wandering,N2
うんと,,a great deal; very much,N2
ええと,,let me see; well; er....,N2
エチケット,,etiquette,N2
エプロン,,apron,N2
オイル,,oil; engine oil; kerosene,N2
オーケストラ,,orchestra,N2
おおざっぱ,,rough (not precise); broad; sketchy,N2
オートメーション,,automation,N2
おかげさまで,,Thanks to god; thanks to you,N2
おかず,,side dish; accompaniment for rice dishes,N2
おくさん,,(hon) wife; your wife; madam,N2
おさきに,,before; ahead; previously,N2
おじゃまします,,Excuse me for disturbing you,N2
おしゃれ,,smartly dressed; someone smartly dressed; fashion-conscious,N2
おだいじに,,Take care of yourself,N2
おどかす,,to threaten; to coerce,N2
おととい,,day before yesterday,N2
おととし,,year before last,N2
おとなしい,,obedient; docile; quiet,N2
おねがいします,,please,N2
おはよう,,(abbr) Good morning,N2
おまたせしました,,Sorry to have kept you waiting,N2
おまちください,,Please wait a moment,N2
おまちどおさま,,Sorry to have kept you waiting,N2
おめでたい,,happy event; matter for congratulation; auspicious event; pregnancy,N2
おやすみ,,(1) holiday; absence; rest; (2) (exp) Good night,N2
おやつ,,(1) between meal snack; afternoon refreshment,N2
オルガン,,organ,N2
お帰り,おかえり,return; welcome,N2
お参り,おまいり,worship; shrine visit,N2
お手伝いさん,おてつだいさん,maid,N2
お代わり,おかわり,second helping; another cup,N2
カーブ,,(1) curve; (2) curve ball (baseball),N2
かしこまりました,,certainly!,N2
かじる,,to chew; to bite (at); to gnaw; to nibble,N2
カセット,,cassette (tape),N2
カバー,,cover (ex. book),N2
ガム,,chewing gum,N2
かゆい,,itchy; itching,N2
カラー,,collar; color; colour,N2
からかう,,to ridicule; to tease; to banter with; to make fun of,N2
かるた,,(n) playing cards (pt: carta),N2
カロリー,,calorie,N2
かわいがる,,to love; to be affectionate,N2
きっかけ,,chance; start; cue; excuse,N2
ぎっしり,,tightly; fully,N2
ギャング,,gang,N2
キャンパス,,campus,N2
クーラー,,cooler; air conditioner,N2
くしゃみ,,sneeze,N2
くたびれる,,to get tired; to wear out,N2
くだらない,,good-for-nothing; stupid; trivial; worthless,N2
くっつく,,to adhere to; to keep close to,N2
くっつける,,to attach,N2
くどい,,verbose; importunate; heavy (taste),N2
クリーニング,,cleaning; dry cleaning; laundry service,N2
くるむ,,to be engulfed in; to be enveloped by; to wrap up,N2
くれぐれも,,repeatedly; sincerely; earnestly,N2
けれど/けれども,,but; however,N2
こうして,こうして,thus,N2
コース,,course,N2
コーラス,,chorus,N2
ごくろうさま,,Thank you very much for your....,N2
こしらえる,,to make; to manufacture,N2
ごちそうさま,,feast,N2
こちらこそ,,it is I who should say so,N2
コック,,(1) cook (nl:); (2) tap; spigot; faucet; cock,N2
こっそり,,stealthily; secretly,N2
こないだ,,the other day; lately; recently,N2
こぼす,,to spill,N2
こぼれる,,to overflow; to spill,N2
ゴム,,gum; rubber; eraser,N2
ごめんください,,May I come in?,N2
こらえる,,to bear; to stand; to endure; to put up with,N2
コレクション,,(1) collection; (2) correction,N2
コンクール,,contest (fr: concours),N2
コンクリート,,concrete,N2
コンセント,,(1) consent; (2) concentric,N2
こんばんは,,good evening,N2
サークル,,circle; sports club (i.e. at a company),N2
サイレン,,siren,N2
さきおととい,,two days before yesterday,N2
さっさと,,quickly,N2
さようなら,,good-bye,N2
サラリーマン,,salary man; company employee,N2
さわやか,,fresh; refreshing; invigorating,N2
サンプル,,sample,N2
しあさって,,two days after tomorrow,N2
シーズン,,season (sporting),N2
シーツ,,sheet,N2
